site,name,country,sar_avail_pct,sar_up_seconds,sar_down_seconds,dcups_avail_pct,dcups_up_seconds,dcups_down_seconds,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
SVKE,SVKE0xSVK,SVK,97.528,2521560,63900,,,,0.000,0,0
SWGA,SWGA0xSWE,SWE,100.000,2585460,0,100.000,2588400,0,0.000,0,0
SWGO,SWGO0xSWE,SWE,100.000,2585460,0,100.000,2587440,0,0.000,0,0
SWGV,SWGV0xSWE,SWE,100.000,2585460,0,100.000,2588700,0,0.019,0,0
SWHU,SWHU0xSWE,SWE,100.000,2585460,0,100.000,2587560,0,0.000,0,0
SWJO,SWJO0xSWE,SWE,100.000,2585460,0,100.000,2586840,0,0.000,0,0
SWKA,SWKA0xSWE,SWE,100.000,2585460,0,100.000,2589480,0,0.000,0,0
SWKR,SWKR0xSWE,SWE,100.000,2585460,0,100.000,2588460,0,0.009,0,0
SWLJ,SWLJ0xSWE,SWE,100.000,2585460,0,100.000,2588160,0,0.000,0,0
SWLU,SWLU0xSWE,SWE,100.000,2585460,0,100.000,2588340,0,0.009,0,0
SWMA,SWMA0xSWE,SWE,100.000,2585460,0,100.000,2587860,0,0.009,0,0
SWNO,SWNO0xSWE,SWE,100.000,2585460,0,100.000,2587740,0,0.019,0,0
SWNY,SWNY0xSWE,SWE,100.000,2585460,0,100.000,2586840,0,0.000,0,0
SWOB,SWOB0xSWE,SWE,100.000,2585460,0,100.000,2587740,0,0.009,0,0
SWOK,SWOK0xSWE,SWE,100.000,2585460,0,100.000,2588940,0,0.000,0,0
SWOS,SWOS0xSWE,SWE,100.000,2585460,0,100.000,2588880,0,0.000,0,0
SWSG,SWSG0xSWE,SWE,100.000,2585460,0,100.000,2588700,0,0.000,0,0
SWSK,SWSK0xSWE,SWE,100.000,2585460,0,100.000,2588400,0,0.000,0,0
SWST,SWST0xSWE,SWE,100.000,2585460,0,100.000,2586900,0,0.000,0,0
SWUD,SWUD0xSWE,SWE,100.000,2585460,0,100.000,2583060,0,0.012,0,0
SWVA,SWVA0xSWE,SWE,100.000,2585460,0,100.000,2588460,0,0.000,0,0
