account,site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ALL,ITBI,ITBI0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,ITCA,ITCA0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITCI,ITCI0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITDO,ITDO0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITFO,ITFO0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITLE,ITLE0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITMA,ITMA0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITMI,ITMI0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITMS,ITMS0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITPT,ITPT0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITRA,ITRA0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITRG,ITRG0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITRS,ITRS0xITA,ITA,EU,99.306,85860,600,0,stable,85860,600,15660,0,
ALL,ITSA,ITSA0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITSC,ITSC0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITSL,ITSL0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,3120,0,
ALL,ITSP,ITSP0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITTE,ITTE0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITTP,ITTP0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITTR,ITTR0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITVE,ITVE0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,JPAB,JPAB0xJPN,JPN,AP,100.000,86460,0,0,stable,86460,0,0,0,
ALL,JPAG,JPAG0xJPN,JPN,AP,100.000,86460,0,0,stable,86460,0,0,0,
ALL,JPAK,JPAK0xJPN,JPN,AP,100.000,86460,0,0,stable,86460,0,0,0,
ALL,JPBK,JPBK0xJPN,JPN,AP,100.000,86460,0,0,stable,86460,0,0,0,
ALL,JPCH,JPCH0xJPN,JPN,AP,100.000,86460,0,0,stable,86460,0,0,0,
